time,open,high,low,close,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1767105000,155.89,159.38,154.16,157.24,-1.8342104003796418,,,,,1,0,1,0,-37.94645880100056,-31.950659177452216,0,0,0,0,0,0,,6.154194055780649,0.31972588230220644,-5.8023435577113105,-6.122069440013517,-0.358294339635834,,173.10504542913444,864493,78870213,38.70632571458915,-37.94645880100056,-45,-65,40,60,80,,,,,,,,,,,163.49605513699456,208.41292212273194,0,0,0,0,0,0,0,0,0,0,163.49605513699456,208.41292212273194,15,15,-35,76.4493614350853,151.64708235294128,151.64708235294128,170.93484206859668,251.19250238491412,0,0,0,0,149.77173305160403,160.57865882352948,160.57865882352948,160.61376324988322,171.01029526327014,0,0,0,0,88.50148097562446,135.81724705882374,135.81724705882374,163.49605513699456,208.41292212273194,0,0,0,0,0.4875007526923615,,,,32.74730144727245,0.33847270329076595
1767119400,157.27,157.65,155.5,155.5,-1.9138003311528802,,,,,0,0,0,0,-38.44025111314223,-32.34569302716555,0,0,0,0,0,0,,5.86818019465346,0.3380310602718719,-5.699530614673677,-6.0375616749455485,-0.3308625542148835,,172.24148679759887,520810,78349403,37.01748880316485,-38.44025111314223,-45,-65,40,60,80,,,,,,,,,,,163.49605513699456,208.41292212273194,0,0,0,0,0,0,0,0,0,0,163.49605513699456,208.41292212273194,10,-45,-55,76.4493614350853,151.64708235294128,151.64708235294128,169.9425466562343,251.19250238491412,0,0,0,0,148.42922189419807,159.46536470588234,159.46536470588234,160.06488239743635,170.00800874395208,0,0,0,0,88.12631993347168,134.68630588235303,134.68630588235303,163.49605513699456,208.41292212273194,0,0,0,0,0.4875007526923615,,,,,0.3109804198147417
1767191400,156.17,156.74,152.53,154.215,-2.03380033115288,,,,,0,0,0,0,-38.53078500145936,-32.34569302716555,0,0,0,0,0,0,,5.749738752178213,0.30482184375948584,-5.656534370246192,-5.9613562140056775,-0.3226206604787488,,169.997838117839,728816,77620587,35.7760185018781,-38.53078500145936,-45,-65,40,60,80,,,,,,,,,,,162.48973875217823,208.41292212273194,0,0,0,0,0,0,0,0,0,0,162.48973875217823,208.41292212273194,15,-10,-10,76.4493614350853,151.64708235294128,151.64708235294128,169.9425466562343,251.19250238491412,0,0,0,0,146.74651051801476,158.05641176470593,158.05641176470593,157.42716900595275,170.00800874395208,0,0,0,0,88.12631993347168,134.68630588235303,134.68630588235303,162.48973875217823,208.41292212273194,0,0,0,0,0.4875007526923615,,,,31.033020069227632,0.3368613825952722
1767205800,154.18,154.68,151.43,151.86,-1.9138003311528802,,,,,0,0,0,0,-40.2326116813958,-33.54604012168051,0,0,0,0,0,0,,5.571185984165483,0.17208563386465237,-5.746249171674862,-5.918334805539514,-0.31301197379193696,,167.8565543060551,484250,77136337,33.554966831476264,-40.2326116813958,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,208.41292212273194,0,0,0,0,0,0,0,0,0,0,160.2511859841655,208.41292212273194,-10,-40,-40,71.9166628101794,146.99694117647044,146.99694117647044,166.92736475221756,251.19250238491412,0,0,0,0,144.84401180986634,156.4848235294118,156.4848235294118,155.74184470411234,167.05315097652692,0,0,0,0,88.39970795956515,133.85668235294122,133.85668235294122,160.2511859841655,208.41292212273194,0,0,0,0,0.4769456282287576,,,,,0.32732848885781884
1767364200,154.6,160.76,149.79,157.67,-1.844497192963817,,,,,0,0,0,0,-38.50399099617021,-33.54604012168051,0,0,0,0,0,0,,5.9568155567250916,0.5046050912371687,-5.287578441493054,-5.792183532730222,-0.2667301987802484,,167.8565543060551,1479822,78616159,42.96289576686827,-38.50399099617021,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,208.41292212273194,0,0,0,0,0,0,0,0,0,0,160.2511859841655,208.41292212273194,5,-10,-20,71.9166628101794,146.99694117647044,146.99694117647044,166.92736475221756,251.19250238491412,0,0,0,0,143.82370927069874,155.60060000000013,155.60060000000013,155.74184470411234,167.05315097652692,0,0,0,0,88.39970795956515,133.85668235294122,133.85668235294122,160.2511859841655,208.41292212273194,0,0,0,0,0.4769456282287576,,,,36.15649518919872,0.3706352146163634
1767378600,157.63,158.44,155.9,157.27,-1.7719789894526379,,,,,0,0,0,0,-27.67319815029171,-26.393142594514213,0,0,0,0,0,0,,5.712757302673299,0.7138487785532011,-4.899872559538721,-5.613721338091922,-0.21820409645257086,,167.8565543060551,595475,78020684,42.51656358360978,-27.67319815029171,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,-20,-5,-50,71.9166628101794,146.99694117647044,146.99694117647044,166.92736475221756,226.7823551176045,0,0,0,0,143.01237818506732,154.87880000000004,154.87880000000004,155.74184470411234,167.05315097652692,0,0,0,0,90.19363146167078,133.98397647058835,133.98397647058835,160.2511859841655,198.91842768539397,0,0,0,0,0.4769456282287576,,,,,0.2972588530815091
1767623400,163.16,167.68,160.98,161.52,-1.6171795361439918,,,,,1,0,0,0,-27.67319815029171,-26.393142594514213,0,0,0,0,0,0,,6.0482746381966335,1.1299818325875108,-4.201244047357534,-5.331225879945045,-0.2558034018208535,,167.8565543060551,1453657,79474341,48.623743771197745,-27.67319815029171,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,-10,-10,-35,71.9166628101794,146.99694117647044,146.99694117647044,166.92736475221756,226.7823551176045,0,0,0,0,142.39369199183685,154.31556470588248,154.31556470588248,159.0718291379262,167.05315097652692,0,0,0,0,90.19363146167078,133.98397647058835,133.98397647058835,160.2511859841655,198.91842768539397,0,0,0,0,0.4769456282287576,,0.12041631035566991,1.3707275524095923,42.79713547651157,0.3566950003367028
1767637800,161.5,166.17,161.14,164.67,-1.8156964076835544,,,,,1,0,1,0,-27.67319815029171,-26.393142594514213,0,0,0,0,0,0,,5.975540735468302,1.5811998638802667,-3.354726050094712,-4.9359259139749785,-0.19956377345625165,,167.8565543060551,639157,80113498,52.63995396297703,-27.67319815029171,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,-5,-5,-35,69.57292489397408,143.88094117647054,143.88094117647054,166.92736475221756,226.7823551176045,0,0,0,0,142.0287447321515,153.97137647058832,165.91400820902516,159.90624585132065,167.05315097652692,0,0,0,0,91.56122941650295,134.19487058823543,134.19487058823543,160.2511859841655,198.91842768539397,0,0,0,0,0.5173164004045472,,,,,0.3569283853169959
1767709800,166.805,167.1,154.95,155.46,-1.8661606794725907,,,,,0,0,0,0,-27.67319815029171,-26.393142594514213,0,0,0,0,0,0,,6.416573540077709,1.2383646852869061,-3.3879700573663456,-4.626334742653252,-0.2359090825174567,,167.8565543060551,1214914,78898584,42.24230122663168,-27.67319815029171,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,-10,15,-35,69.57292489397408,143.88094117647054,143.88094117647054,166.92736475221756,226.7823551176045,0,0,0,0,141.2162026561169,153.24194117647062,153.24194117647062,159.90624585132065,167.05315097652692,0,0,0,0,91.56122941650295,134.19487058823543,134.19487058823543,160.2511859841655,198.91842768539397,0,0,0,0,0.5173164004045472,,,,38.905998967063724,0.37121656642784967
1767724200,155.45,159.65,154.06,158.03,-2.114587008935207,,,,,0,0,0,0,-27.67319815029171,-26.393142594514213,0,0,0,0,0,0,,6.357532572929301,1.164753920832978,-3.170392341612029,-4.335146262445007,-0.2225287621160032,,167.8565543060551,642348,79540932,45.47857449975862,-27.67319815029171,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,-5,20,-40,69.57292489397408,143.88094117647054,143.88094117647054,166.92736475221756,226.7823551176045,0,0,0,0,140.49353342555852,152.59297647058844,152.59297647058844,159.90624585132065,167.05315097652692,0,0,0,0,93.0557770668498,134.31920000000002,134.31920000000002,160.2511859841655,198.91842768539397,0,0,0,0,0.5173164004045472,,,,,0.3143586373864655
1767796200,163.51,170.12,158.47,161.34,-1.3204364490182632,,,,,1,0,0,0,-27.67319815029171,-26.393142594514213,0,0,0,0,0,0,,6.76699453200578,1.3083169627607152,-2.6997500589941126,-4.008067021754828,-0.2697030792141626,,167.8565543060551,2258320,81799252,49.41024769841546,-27.67319815029171,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,15,15,10,69.57292489397408,143.88094117647054,143.88094117647054,166.92736475221756,226.7823551176045,0,0,0,0,140.20921066360611,152.30309411764702,152.30309411764702,159.90624585132065,167.05315097652692,0,0,0,0,93.0557770668498,134.31920000000002,134.31920000000002,160.2511859841655,198.91842768539397,0,0,0,0,0.5173164004045472,,,,42.14542231842278,0.3705782658745893
1767810600,161.37,162.65,159.84,161.5,-1.924520238990427,,,,,1,0,1,0,-27.376922763006704,-26.393142594514213,0,0,0,0,0,0,,6.484352065433939,1.37646696725907,-2.2874833126809904,-3.6639502799400603,-0.23867863214322105,,167.8565543060551,547177,82346429,49.599448152206435,-27.376922763006704,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,20,20,10,66.18791922901818,140.2229411764706,140.2229411764706,166.92736475221756,226.7823551176045,0,0,0,0,139.36950068429348,151.47309411764712,151.47309411764712,159.90624585132065,167.05315097652692,0,0,0,0,95.78638641031942,135.20835294117663,135.20835294117663,160.2511859841655,198.91842768539397,0,0,0,0,0.5084617267446309,,,,,0.3169472995294151
1767882600,158.635,170.6,156.2,169.4,-1.2417308150685997,,,,,1,0,0,0,-27.376922763006704,-26.393142594514213,0,0,0,0,0,0,,7.049755489331515,1.8845884763413379,-1.3082146845133877,-3.1928031608547256,-0.11408846164025016,147.06515691088583,,1903051,84249480,57.959665616930714,-27.376922763006704,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,15,15,10,66.18791922901818,140.2229411764706,140.2229411764706,166.92736475221756,226.7823551176045,0,0,0,0,139.52661854613092,151.624505882353,163.72239321857506,159.90624585132065,167.05315097652692,0,0,0,0,95.78638641031942,135.20835294117663,135.20835294117663,160.2511859841655,198.91842768539397,0,0,0,0,0.5084617267446309,,,,46.23369477879933,0.4167147157884189
1767897000,169.39,170.4,165.18,166.86,-1.0777682588041697,,,,,0,0,0,0,-26.476662442120485,-26.393142594514213,0,0,0,0,0,0,,6.919058668664978,1.9712872630882337,-0.7286940819944334,-2.699981345082667,-0.10880223666890132,147.06515691088583,,754981,83494499,54.81158426711364,-26.476662442120485,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,20,20,15,66.18791922901818,140.2229411764706,140.2229411764706,166.92736475221756,226.7823551176045,0,0,0,0,140.183770416716,152.0856352941178,163.9875001715196,161.67445224968196,167.05315097652692,0,0,0,0,100.17149990627794,137.0580235294119,137.0580235294119,160.2511859841655,198.91842768539397,0,0,0,0,0.5084617267446309,,,,,0.3516155597228913
1767969000,166.72,167.2,155.47,158.77,-1.1246092644098646,,,,,0,0,0,0,-26.476662442120485,-26.393142594514213,0,0,0,0,0,0,,7.262697335188908,1.430620561514881,-0.911705643189066,-2.342326204703947,-0.15739816281490968,147.06515691088583,,2767855,80726644,46.20370167711489,-26.476662442120485,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,15,15,-20,66.18791922901818,140.2229411764706,140.2229411764706,166.92736475221756,226.7823551176045,0,0,0,0,140.01750329438156,151.84984705882357,151.84984705882357,161.67445224968196,167.05315097652692,0,0,0,0,100.17149990627794,137.0580235294119,137.0580235294119,160.2511859841655,198.91842768539397,0,0,0,0,0.5084617267446309,,,,40.45915345592869,0.38154576131073203
1767983400,158.78,159.87,156.81,157.31,-1.1680557430302927,,,,,1,0,0,0,-31.84133558749521,-26.393142594514213,0,0,0,0,0,0,,6.9625046683897,0.9449264053241073,-1.1611681980488129,-2.10609460337292,-0.20976864982024124,147.06515691088583,,773458,79953186,44.83524043960275,-31.84133558749521,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,20,20,5,62.417927900737425,136.33865882352927,136.33865882352927,166.92736475221756,226.7823551176045,0,0,0,0,140.09966402399374,151.7397529411766,151.7397529411766,161.67445224968196,167.05315097652692,0,0,0,0,103.25647506875065,138.02230588235292,138.02230588235292,160.2511859841655,198.91842768539397,0,0,0,0,0.4947676502343315,,,,,0.32989788397394604
1768228200,156.15,161.98,154.69,160.83,-1.1482964486291996,,,,,0,0,0,0,-31.84133558749521,-26.393142594514213,0,0,0,0,0,0,,6.98589719207615,0.8348071532182957,-1.0625856618500507,-1.8973928150683463,-0.17494166257602173,147.06515691088583,,1020287,80973473,48.77451540261446,-31.84133558749521,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,15,15,10,62.417927900737425,136.33865882352927,136.33865882352927,166.92736475221756,226.7823551176045,0,0,0,0,140.78476753348176,152.06641176470603,152.06641176470603,161.67445224968196,167.05315097652692,0,0,0,0,103.25647506875065,138.02230588235292,138.02230588235292,160.2511859841655,198.91842768539397,0,0,0,0,0.4947676502343315,,13.488805705497171,4.77374517658868,44.26942679012315,0.37052392005982615
1768242600,160.82,163.82,159.93,162.24,-1.24550990185006,,,,,1,0,0,0,-31.84133558749521,-26.393142594514213,0,0,0,0,0,0,,6.7647616783564235,0.8293056430351748,-0.8607607612743777,-1.6900664043095526,-0.17990566039167977,147.06515691088583,,554942,81528415,50.30533996735996,-31.84133558749521,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,20,20,10,62.417927900737425,136.33865882352927,136.33865882352927,166.92736475221756,226.7823551176045,0,0,0,0,141.62060671441324,152.5293529411765,163.43809916793978,161.67445224968196,167.05315097652692,0,0,0,0,106.54384853544892,139.29541176470593,139.29541176470593,160.2511859841655,198.91842768539397,0,0,0,0,0.4947676502343315,,,,,0.36919657168374986
1768314600,164.445,169.9,160.73,169.86,-1.1082688452460532,,,,,0,0,0,0,-31.84133558749521,-26.393142594514213,0,0,0,0,0,0,,6.93656441561668,1.2840824419572683,-0.08496335186296733,-1.3690457938202356,-0.08592142265820521,147.06515691088583,,1333235,82861650,57.66791232633674,-31.84133558749521,-45,-65,40,60,80,,,,,,,,,,,160.2511859841655,198.91842768539397,0,0,0,0,0,0,0,0,0,0,160.2511859841655,198.91842768539397,15,15,15,62.417927900737425,136.33865882352927,136.33865882352927,166.92736475221756,226.7823551176045,0,0,0,0,143.03121396827981,153.5868117647061,164.1424095611324,161.68212083258197,167.05315097652692,0,0,0,0,106.54384853544892,139.29541176470593,139.29541176470593,160.2511859841655,198.91842768539397,0,0,0,0,0.4947676502343315,,,,51.59486246887023,0.4030380865264696
1768329000,169.88,173.76,168.95,173.22,-0.8523208683656323,,,,,0,0,0,0,-31.660908576463374,-26.393142594514213,0,0,0,0,0,0,,6.784666957358346,1.7287226851796855,0.7918575626543713,-0.9368651225253142,-0.020102266510896853,151.00648469905326,,1133237,83994887,60.450386160466095,-31.660908576463374,-45,-65,40,60,80,,,,,,,,,,,162.16533304264163,198.91842768539397,0,0,0,0,0,0,0,0,0,0,162.16533304264163,198.91842768539397,20,20,15,59.65335321917381,133.3864705882351,133.3864705882351,166.92736475221756,226.7823551176045,0,0,0,0,144.2867370785371,154.70396470588253,165.12119233322795,166.4588184729916,167.05315097652692,0,0,0,0,109.46016437366534,140.83858823529408,172.21701209692282,162.16533304264163,198.91842768539397,0,0,0,0,0.5442478365582956,,,,,0.3777195185362001
1768401000,178.43,190.2,176.8,179.17,-0.4977922898872689,,,,,0,1,0,0,-15.98961312305873,-26.393142594514213,0,0,0,0,0,0,,7.51290503183275,2.3050483959879746,1.9444453724596542,-0.3606030235283204,-0.11530851440447247,160.09233622914797,,3404753,87399640,64.85571638543101,-15.98961312305873,-45,-65,40,60,80,,,,,,,,,,,169.28709496816725,198.91842768539397,0,0,0,0,0,0,0,0,0,0,169.28709496816725,198.91842768539397,15,15,15,59.65335321917381,133.3864705882351,133.3864705882351,166.92736475221756,226.7823551176045,0,0,0,0,145.84032401525963,156.26034117647072,166.6803583376818,171.4102567445693,167.05315097652692,0,0,0,0,109.46016437366534,140.83858823529408,172.21701209692282,169.28709496816725,198.91842768539397,0,0,0,0,0.5442478365582956,,,,55.321365752964574,0.4263507676199605
1768415400,179.18,180.54,176.12,179.22,-0.5440065059629184,,,,,0,0,0,0,-15.98961312305873,-26.393142594514213,0,0,0,0,0,0,,7.291983243844696,2.55192217253196,2.8292996921366296,0.2773775196046696,-0.07828690982744407,160.09233622914797,,865435,88265075,64.89110724220426,-15.98961312305873,-45,-65,40,60,80,,,,,,,,,,,169.28709496816725,198.91842768539397,0,0,0,0,0,0,0,0,0,0,169.28709496816725,198.91842768539397,20,20,10,59.65335321917381,133.3864705882351,133.3864705882351,166.92736475221756,226.7823551176045,0,0,0,0,147.65156871799724,157.96834117647057,168.2851136349439,173.24481321342964,167.05315097652692,0,0,0,0,114.63453365262987,143.66360000000014,172.69266634737042,169.28709496816725,198.91842768539397,0,0,0,0,0.5442478365582956,,,,,0.3803309691368605
1768487400,179.125,179.22,170.1,175.32,-0.47667112588590227,,,,,0,0,0,0,-15.98961312305873,-26.393142594514213,0,0,0,0,0,0,,7.42255586928436,2.321464209005899,3.1792077808620434,0.8577435718561444,-0.061668024164183974,160.09233622914797,,1490310,86774765,59.83011678799006,-15.98961312305873,-45,-65,40,60,80,,,,,,,,,,,169.28709496816725,198.91842768539397,0,0,0,0,0,0,0,0,0,0,169.28709496816725,198.91842768539397,15,15,15,59.65335321917381,133.3864705882351,133.3864705882351,166.92736475221756,226.7823551176045,0,0,0,0,149.32867022252788,159.41944705882347,169.51022389511905,173.24481321342964,167.05315097652692,0,0,0,0,114.63453365262987,143.66360000000014,172.69266634737042,169.28709496816725,198.91842768539397,0,0,0,0,0.5442478365582956,,,,49.83423438998301,0.42557976144485143
1768501800,175.325,175.75,170.79,170.9,-0.5507337677203235,,,,,0,0,0,0,-15.98961312305873,-26.393142594514213,0,0,0,0,0,0,,7.246659021478335,1.7654286738167824,3.064529414127122,1.2991007403103398,-0.07379649653846868,160.09233622914797,,711490,86063275,54.62988211563127,-15.98961312305873,-45,-65,40,60,80,,,,,,,,,,,169.28709496816725,198.91842768539397,0,0,0,0,0,0,0,0,0,0,169.28709496816725,198.91842768539397,15,15,15,58.18040428565179,131.22642352941173,131.22642352941173,166.92736475221756,226.7823551176045,0,0,0,0,151.61410756867562,160.93307058823538,170.25203360779514,173.24481321342964,167.05315097652692,0,0,0,0,119.1494678245308,145.8534117647058,145.8534117647058,169.28709496816725,198.91842768539397,0,0,0,0,0.5381949364750969,,,,,0.4007257395263174
1768573800,171.96,173.88,167.62,171.82,-0.42110016449826754,,,,,0,0,0,0,-15.98961312305873,-26.393142594514213,0,0,0,0,0,0,,7.176183377087024,1.3712382814839406,3.0131485921652654,1.6419103106813249,-0.08268729813894046,160.09233622914797,,1275295,87338570,55.49693043453289,-15.98961312305873,-45,-65,40,60,80,,,,,,,,,,,169.28709496816725,198.91842768539397,0,0,0,0,0,0,0,0,0,0,169.28709496816725,198.91842768539397,15,15,15,58.18040428565179,131.22642352941173,131.22642352941173,166.92736475221756,226.7823551176045,0,0,0,0,153.65710289211086,162.3945529411765,171.13200299024214,173.24481321342964,167.05315097652692,0,0,0,0,119.1494678245308,145.8534117647058,145.8534117647058,169.28709496816725,198.91842768539397,0,0,0,0,0.5381949364750969,,,,51.555039524704796,0.4149954305066188
1768588200,171.89,173.86,170.7,173.72,-0.3198743240048226,,,,,0,0,0,0,-15.98961312305873,-26.393142594514213,0,0,0,0,0,0,,6.889313135866524,1.1585693820915939,3.090122038295817,1.9315526562042233,-0.06671343215480506,160.09233622914797,,502381,87840951,57.31134418988697,-15.98961312305873,-45,-65,40,60,80,,,,,,,,,,,169.28709496816725,198.91842768539397,0,0,0,0,0,0,0,0,0,0,169.28709496816725,198.91842768539397,20,20,15,58.18040428565179,131.22642352941173,131.22642352941173,166.92736475221756,226.7823551176045,0,0,0,0,155.68901115414937,163.9542470588235,172.21948296349765,173.24481321342964,167.05315097652692,0,0,0,0,122.69952029638958,147.77404705882356,172.84857382125753,169.28709496816725,198.91842768539397,0,0,0,0,0.5381949364750969,,,,,0.402827926328691
1768919400,165.17,165.72,158.85,160.97,-0.5555443815817304,,,,,0,0,0,0,-15.98961312305873,-26.393142594514213,0,0,0,0,0,0,,7.459362197590344,0.13325370403844805,2.0981197862522833,1.9648660822138353,-0.042104608957791695,160.09233622914797,,1575635,86265316,44.268265006422006,-15.98961312305873,-45,-65,40,60,80,,,,,,,,,,,169.28709496816725,198.91842768539397,0,0,0,0,0,0,0,0,0,0,169.28709496816725,198.91842768539397,0,0,15,58.18040428565179,131.22642352941173,131.22642352941173,166.92736475221756,226.7823551176045,0,0,0,0,156.6951391549041,164.4680823529412,164.4680823529412,169.68783543220567,167.05315097652692,0,0,0,0,122.69952029638958,147.77404705882356,172.84857382125753,169.28709496816725,198.91842768539397,0,0,0,0,0.5381949364750969,,23.09317470551656,12.234132240456468,43.77066172872338,0.4039173919557485
